index,yyyy-mm-dd hh:mm:ss.ms
180,2021-04-11 08:00:00.000
181,2021-04-11 08:10:00.000
182,2021-04-11 08:20:00.000
183,2021-04-11 08:30:00.000
184,2021-04-11 08:40:00.000
185,2021-04-11 08:50:00.000
186,2021-04-11 09:00:00.000
187,2021-04-11 09:10:00.000
188,2021-04-11 09:20:00.000
189,2021-04-11 09:30:00.000
190,2021-04-11 09:40:00.000
191,2021-04-11 09:50:00.000
192,2021-04-11 10:00:00.000
193,2021-04-11 10:10:00.000
194,2021-04-11 10:20:00.000
195,2021-04-11 10:30:00.000
196,2021-04-11 10:40:00.000
197,2021-04-11 10:50:00.000
198,2021-04-11 11:00:00.000
199,2021-04-11 11:10:00.000
200,2021-04-11 11:20:00.000
201,2021-04-11 11:30:00.000
202,2021-04-11 11:40:00.000
203,2021-04-11 11:50:00.000
204,2021-04-11 12:00:00.000
205,2021-04-11 12:10:00.000
206,2021-04-11 12:20:00.000
207,2021-04-11 12:30:00.000
208,2021-04-11 12:40:00.000
209,2021-04-11 12:50:00.000
210,2021-04-11 13:00:00.000
211,2021-04-11 13:10:00.000
212,2021-04-11 13:20:00.000
213,2021-04-11 13:30:00.000
214,2021-04-11 13:40:00.000
215,2021-04-11 13:50:00.000
216,2021-04-11 14:00:00.000
217,2021-04-11 14:10:00.000
218,2021-04-11 14:20:00.000
219,2021-04-11 14:30:00.000
220,2021-04-11 14:40:00.000
221,2021-04-11 14:50:00.000
222,2021-04-11 15:00:00.000
223,2021-04-11 15:10:00.000
224,2021-04-11 15:20:00.000
225,2021-04-11 15:30:00.000
226,2021-04-11 15:40:00.000
227,2021-04-11 15:50:00.000
228,2021-04-11 16:00:00.000
229,2021-04-11 16:10:00.000
230,2021-04-11 16:20:00.000
231,2021-04-11 16:30:00.000
232,2021-04-11 16:40:00.000
233,2021-04-11 16:50:00.000
234,2021-04-11 17:00:00.000
235,2021-04-11 17:10:00.000
236,2021-04-11 17:20:00.000
237,2021-04-11 17:30:00.000
238,2021-04-11 17:40:00.000
239,2021-04-11 17:50:00.000
240,2021-04-11 18:00:00.000
241,2021-04-11 18:10:00.000
242,2021-04-11 18:20:00.000
243,2021-04-11 18:30:00.000
244,2021-04-11 18:40:00.000
245,2021-04-11 18:50:00.000
246,2021-04-11 19:00:00.000
247,2021-04-11 19:10:00.000
248,2021-04-11 19:20:00.000
249,2021-04-11 19:30:00.000
250,2021-04-11 19:40:00.000
251,2021-04-11 19:50:00.000
252,2021-04-11 20:00:00.000
253,2021-04-11 20:10:00.000
254,2021-04-11 20:20:00.000
255,2021-04-11 20:30:00.000
256,2021-04-11 20:40:00.000
257,2021-04-11 20:50:00.000
258,2021-04-11 21:00:00.000
259,2021-04-11 21:10:00.000
260,2021-04-11 21:20:00.000
261,2021-04-11 21:30:00.000
262,2021-04-11 21:40:00.000
263,2021-04-11 21:50:00.000
264,2021-04-11 22:00:00.000
265,2021-04-11 22:10:00.000
266,2021-04-11 22:20:00.000
267,2021-04-11 22:30:00.000
268,2021-04-11 22:40:00.000
269,2021-04-11 22:50:00.000
270,2021-04-11 23:00:00.000
271,2021-04-11 23:10:00.000
272,2021-04-11 23:20:00.000
273,2021-04-11 23:30:00.000
274,2021-04-11 23:40:00.000
275,2021-04-11 23:50:00.000
276,2021-04-12 00:00:00.000
277,2021-04-12 00:10:00.000
278,2021-04-12 00:20:00.000
279,2021-04-12 00:30:00.000
280,2021-04-12 00:40:00.000
281,2021-04-12 00:50:00.000
282,2021-04-12 01:00:00.000
283,2021-04-12 01:10:00.000
284,2021-04-12 01:20:00.000
285,2021-04-12 01:30:00.000
286,2021-04-12 01:40:00.000
287,2021-04-12 01:50:00.000
288,2021-04-12 02:00:00.000
289,2021-04-12 02:10:00.000
290,2021-04-12 02:20:00.000
291,2021-04-12 02:30:00.000
292,2021-04-12 02:40:00.000
293,2021-04-12 02:50:00.000
294,2021-04-12 03:00:00.000
295,2021-04-12 03:10:00.000
296,2021-04-12 03:20:00.000
297,2021-04-12 03:30:00.000
298,2021-04-12 03:40:00.000
299,2021-04-12 03:50:00.000
300,2021-04-12 04:00:00.000
301,2021-04-12 04:10:00.000
302,2021-04-12 04:20:00.000
303,2021-04-12 04:30:00.000
304,2021-04-12 04:40:00.000
305,2021-04-12 04:50:00.000
306,2021-04-12 05:00:00.000
307,2021-04-12 05:10:00.000
308,2021-04-12 05:20:00.000
309,2021-04-12 05:30:00.000
310,2021-04-12 05:40:00.000
311,2021-04-12 05:50:00.000
312,2021-04-12 06:00:00.000
313,2021-04-12 06:10:00.000
314,2021-04-12 06:20:00.000
315,2021-04-12 06:30:00.000
316,2021-04-12 06:40:00.000
317,2021-04-12 06:50:00.000
318,2021-04-12 07:00:00.000
319,2021-04-12 07:10:00.000
320,2021-04-12 07:20:00.000
321,2021-04-12 07:30:00.000
322,2021-04-12 07:40:00.000
323,2021-04-12 07:50:00.000
324,2021-04-12 08:00:00.000
325,2021-04-12 08:10:00.000
326,2021-04-12 08:20:00.000
327,2021-04-12 08:30:00.000
328,2021-04-12 08:40:00.000
329,2021-04-12 08:50:00.000
330,2021-04-12 09:00:00.000
331,2021-04-12 09:10:00.000
332,2021-04-12 09:20:00.000
333,2021-04-12 09:30:00.000
334,2021-04-12 09:40:00.000
335,2021-04-12 09:50:00.000
336,2021-04-12 10:00:00.000
337,2021-04-12 10:10:00.000
338,2021-04-12 10:20:00.000
339,2021-04-12 10:30:00.000
340,2021-04-12 10:40:00.000
341,2021-04-12 10:50:00.000
342,2021-04-12 11:00:00.000
343,2021-04-12 11:10:00.000
344,2021-04-12 11:20:00.000
345,2021-04-12 11:30:00.000
346,2021-04-12 11:40:00.000
347,2021-04-12 11:50:00.000
348,2021-04-12 12:00:00.000
349,2021-04-12 12:10:00.000
350,2021-04-12 12:20:00.000
351,2021-04-12 12:30:00.000
352,2021-04-12 12:40:00.000
353,2021-04-12 12:50:00.000
354,2021-04-12 13:00:00.000
355,2021-04-12 13:10:00.000
356,2021-04-12 13:20:00.000
357,2021-04-12 13:30:00.000
358,2021-04-12 13:40:00.000
359,2021-04-12 13:50:00.000
360,2021-04-12 14:00:00.000
361,2021-04-12 14:10:00.000
362,2021-04-12 14:20:00.000
363,2021-04-12 14:30:00.000
364,2021-04-12 14:40:00.000
365,2021-04-12 14:50:00.000
366,2021-04-12 15:00:00.000
367,2021-04-12 15:10:00.000
368,2021-04-12 15:20:00.000
369,2021-04-12 15:30:00.000
370,2021-04-12 15:40:00.000
371,2021-04-12 15:50:00.000
372,2021-04-12 16:00:00.000
373,2021-04-12 16:10:00.000
374,2021-04-12 16:20:00.000
375,2021-04-12 16:30:00.000
376,2021-04-12 16:40:00.000
377,2021-04-12 16:50:00.000
378,2021-04-12 17:00:00.000
379,2021-04-12 17:10:00.000
380,2021-04-12 17:20:00.000
381,2021-04-12 17:30:00.000
382,2021-04-12 17:40:00.000
383,2021-04-12 17:50:00.000
384,2021-04-12 18:00:00.000
385,2021-04-12 18:10:00.000
386,2021-04-12 18:20:00.000
387,2021-04-12 18:30:00.000
388,2021-04-12 18:40:00.000
389,2021-04-12 18:50:00.000
390,2021-04-12 19:00:00.000
391,2021-04-12 19:10:00.000
392,2021-04-12 19:20:00.000
393,2021-04-12 19:30:00.000
394,2021-04-12 19:40:00.000
395,2021-04-12 19:50:00.000
396,2021-04-12 20:00:00.000
397,2021-04-12 20:10:00.000
398,2021-04-12 20:20:00.000
399,2021-04-12 20:30:00.000
400,2021-04-12 20:40:00.000
401,2021-04-12 20:50:00.000
402,2021-04-12 21:00:00.000
403,2021-04-12 21:10:00.000
404,2021-04-12 21:20:00.000
405,2021-04-12 21:30:00.000
406,2021-04-12 21:40:00.000
407,2021-04-12 21:50:00.000
408,2021-04-12 22:00:00.000
409,2021-04-12 22:10:00.000
410,2021-04-12 22:20:00.000
411,2021-04-12 22:30:00.000
412,2021-04-12 22:40:00.000
413,2021-04-12 22:50:00.000
414,2021-04-12 23:00:00.000
415,2021-04-12 23:10:00.000
416,2021-04-12 23:20:00.000
417,2021-04-12 23:30:00.000
418,2021-04-12 23:40:00.000
419,2021-04-12 23:50:00.000
420,2021-04-13 00:00:00.000
421,2021-04-13 00:10:00.000
422,2021-04-13 00:20:00.000
423,2021-04-13 00:30:00.000
424,2021-04-13 00:40:00.000
425,2021-04-13 00:50:00.000
426,2021-04-13 01:00:00.000
427,2021-04-13 01:10:00.000
428,2021-04-13 01:20:00.000
429,2021-04-13 01:30:00.000
430,2021-04-13 01:40:00.000
431,2021-04-13 01:50:00.000
432,2021-04-13 02:00:00.000
433,2021-04-13 02:10:00.000
434,2021-04-13 02:20:00.000
435,2021-04-13 02:30:00.000
436,2021-04-13 02:40:00.000
437,2021-04-13 02:50:00.000
438,2021-04-13 03:00:00.000
439,2021-04-13 03:10:00.000
440,2021-04-13 03:20:00.000
441,2021-04-13 03:30:00.000
442,2021-04-13 03:40:00.000
443,2021-04-13 03:50:00.000
444,2021-04-13 04:00:00.000
445,2021-04-13 04:10:00.000
446,2021-04-13 04:20:00.000
447,2021-04-13 04:30:00.000
448,2021-04-13 04:40:00.000
449,2021-04-13 04:50:00.000
450,2021-04-13 05:00:00.000
451,2021-04-13 05:10:00.000
452,2021-04-13 05:20:00.000
453,2021-04-13 05:30:00.000
454,2021-04-13 05:40:00.000
455,2021-04-13 05:50:00.000
456,2021-04-13 06:00:00.000
457,2021-04-13 06:10:00.000
458,2021-04-13 06:20:00.000
459,2021-04-13 06:30:00.000
460,2021-04-13 06:40:00.000
461,2021-04-13 06:50:00.000
462,2021-04-13 07:00:00.000
463,2021-04-13 07:10:00.000
464,2021-04-13 07:20:00.000
465,2021-04-13 07:30:00.000
466,2021-04-13 07:40:00.000
467,2021-04-13 07:50:00.000
468,2021-04-13 08:00:00.000
469,2021-04-13 08:10:00.000
470,2021-04-13 08:20:00.000
471,2021-04-13 08:30:00.000
472,2021-04-13 08:40:00.000
473,2021-04-13 08:50:00.000
474,2021-04-13 09:00:00.000
475,2021-04-13 09:10:00.000
476,2021-04-13 09:20:00.000
477,2021-04-13 09:30:00.000
478,2021-04-13 09:40:00.000
479,2021-04-13 09:50:00.000
480,2021-04-13 10:00:00.000
481,2021-04-13 10:10:00.000
482,2021-04-13 10:20:00.000
483,2021-04-13 10:30:00.000
484,2021-04-13 10:40:00.000
485,2021-04-13 10:50:00.000
486,2021-04-13 11:00:00.000
487,2021-04-13 11:10:00.000
488,2021-04-13 11:20:00.000
489,2021-04-13 11:30:00.000
490,2021-04-13 11:40:00.000
491,2021-04-13 11:50:00.000
492,2021-04-13 12:00:00.000
493,2021-04-13 12:10:00.000
494,2021-04-13 12:20:00.000
495,2021-04-13 12:30:00.000
496,2021-04-13 12:40:00.000
497,2021-04-13 12:50:00.000
498,2021-04-13 13:00:00.000
499,2021-04-13 13:10:00.000
500,2021-04-13 13:20:00.000
501,2021-04-13 13:30:00.000
502,2021-04-13 13:40:00.000
503,2021-04-13 13:50:00.000
504,2021-04-13 14:00:00.000
505,2021-04-13 14:10:00.000
506,2021-04-13 14:20:00.000
507,2021-04-13 14:30:00.000
508,2021-04-13 14:40:00.000
509,2021-04-13 14:50:00.000
510,2021-04-13 15:00:00.000
511,2021-04-13 15:10:00.000
512,2021-04-13 15:20:00.000
513,2021-04-13 15:30:00.000
514,2021-04-13 15:40:00.000
515,2021-04-13 15:50:00.000
516,2021-04-13 16:00:00.000
517,2021-04-13 16:10:00.000
518,2021-04-13 16:20:00.000
519,2021-04-13 16:30:00.000
520,2021-04-13 16:40:00.000
521,2021-04-13 16:50:00.000
522,2021-04-13 17:00:00.000
523,2021-04-13 17:10:00.000
524,2021-04-13 17:20:00.000
525,2021-04-13 17:30:00.000
526,2021-04-13 17:40:00.000
527,2021-04-13 17:50:00.000
528,2021-04-13 18:00:00.000
529,2021-04-13 18:10:00.000
530,2021-04-13 18:20:00.000
531,2021-04-13 18:30:00.000
532,2021-04-13 18:40:00.000
533,2021-04-13 18:50:00.000
534,2021-04-13 19:00:00.000
535,2021-04-13 19:10:00.000
536,2021-04-13 19:20:00.000
537,2021-04-13 19:30:00.000
538,2021-04-13 19:40:00.000
539,2021-04-13 19:50:00.000
540,2021-04-13 20:00:00.000
541,2021-04-13 20:10:00.000
542,2021-04-13 20:20:00.000
543,2021-04-13 20:30:00.000
544,2021-04-13 20:40:00.000
545,2021-04-13 20:50:00.000
546,2021-04-13 21:00:00.000
547,2021-04-13 21:10:00.000
548,2021-04-13 21:20:00.000
549,2021-04-13 21:30:00.000
550,2021-04-13 21:40:00.000
551,2021-04-13 21:50:00.000
552,2021-04-13 22:00:00.000
553,2021-04-13 22:10:00.000
554,2021-04-13 22:20:00.000
555,2021-04-13 22:30:00.000
556,2021-04-13 22:40:00.000
557,2021-04-13 22:50:00.000
558,2021-04-13 23:00:00.000
559,2021-04-13 23:10:00.000
560,2021-04-13 23:20:00.000
561,2021-04-13 23:30:00.000
562,2021-04-13 23:40:00.000
563,2021-04-13 23:50:00.000
564,2021-04-14 00:00:00.000
565,2021-04-14 00:10:00.000
566,2021-04-14 00:20:00.000
567,2021-04-14 00:30:00.000
568,2021-04-14 00:40:00.000
569,2021-04-14 00:50:00.000
570,2021-04-14 01:00:00.000
571,2021-04-14 01:10:00.000
572,2021-04-14 01:20:00.000
573,2021-04-14 01:30:00.000
574,2021-04-14 01:40:00.000
575,2021-04-14 01:50:00.000
576,2021-04-14 02:00:00.000
577,2021-04-14 02:10:00.000
578,2021-04-14 02:20:00.000
579,2021-04-14 02:30:00.000
580,2021-04-14 02:40:00.000
581,2021-04-14 02:50:00.000
582,2021-04-14 03:00:00.000
583,2021-04-14 03:10:00.000
584,2021-04-14 03:20:00.000
585,2021-04-14 03:30:00.000
586,2021-04-14 03:40:00.000
587,2021-04-14 03:50:00.000
588,2021-04-14 04:00:00.000
589,2021-04-14 04:10:00.000
590,2021-04-14 04:20:00.000
591,2021-04-14 04:30:00.000
592,2021-04-14 04:40:00.000
593,2021-04-14 04:50:00.000
594,2021-04-14 05:00:00.000
595,2021-04-14 05:10:00.000
596,2021-04-14 05:20:00.000
597,2021-04-14 05:30:00.000
598,2021-04-14 05:40:00.000
599,2021-04-14 05:50:00.000
600,2021-04-14 06:00:00.000
601,2021-04-14 06:10:00.000
602,2021-04-14 06:20:00.000
603,2021-04-14 06:30:00.000
604,2021-04-14 06:40:00.000
605,2021-04-14 06:50:00.000
606,2021-04-14 07:00:00.000
607,2021-04-14 07:10:00.000
608,2021-04-14 07:20:00.000
609,2021-04-14 07:30:00.000
610,2021-04-14 07:40:00.000
611,2021-04-14 07:50:00.000
612,2021-04-14 08:00:00.000
613,2021-04-14 08:10:00.000
614,2021-04-14 08:20:00.000
615,2021-04-14 08:30:00.000
616,2021-04-14 08:40:00.000
617,2021-04-14 08:50:00.000
618,2021-04-14 09:00:00.000
619,2021-04-14 09:10:00.000
620,2021-04-14 09:20:00.000
621,2021-04-14 09:30:00.000
622,2021-04-14 09:40:00.000
623,2021-04-14 09:50:00.000
624,2021-04-14 10:00:00.000
625,2021-04-14 10:10:00.000
626,2021-04-14 10:20:00.000
627,2021-04-14 10:30:00.000
628,2021-04-14 10:40:00.000
629,2021-04-14 10:50:00.000
630,2021-04-14 11:00:00.000
631,2021-04-14 11:10:00.000
632,2021-04-14 11:20:00.000
633,2021-04-14 11:30:00.000
634,2021-04-14 11:40:00.000
635,2021-04-14 11:50:00.000
636,2021-04-14 12:00:00.000
637,2021-04-14 12:10:00.000
638,2021-04-14 12:20:00.000
639,2021-04-14 12:30:00.000
640,2021-04-14 12:40:00.000
641,2021-04-14 12:50:00.000
642,2021-04-14 13:00:00.000
643,2021-04-14 13:10:00.000
644,2021-04-14 13:20:00.000
645,2021-04-14 13:30:00.000
646,2021-04-14 13:40:00.000
647,2021-04-14 13:50:00.000
648,2021-04-14 14:00:00.000
649,2021-04-14 14:10:00.000
650,2021-04-14 14:20:00.000
651,2021-04-14 14:30:00.000
652,2021-04-14 14:40:00.000
653,2021-04-14 14:50:00.000
654,2021-04-14 15:00:00.000
655,2021-04-14 15:10:00.000
656,2021-04-14 15:20:00.000
657,2021-04-14 15:30:00.000
658,2021-04-14 15:40:00.000
659,2021-04-14 15:50:00.000
660,2021-04-14 16:00:00.000
661,2021-04-14 16:10:00.000
662,2021-04-14 16:20:00.000
663,2021-04-14 16:30:00.000
664,2021-04-14 16:40:00.000
665,2021-04-14 16:50:00.000
666,2021-04-14 17:00:00.000
667,2021-04-14 17:10:00.000
668,2021-04-14 17:20:00.000
669,2021-04-14 17:30:00.000
670,2021-04-14 17:40:00.000
671,2021-04-14 17:50:00.000
672,2021-04-14 18:00:00.000
673,2021-04-14 18:10:00.000
674,2021-04-14 18:20:00.000
675,2021-04-14 18:30:00.000
676,2021-04-14 18:40:00.000
677,2021-04-14 18:50:00.000
678,2021-04-14 19:00:00.000
679,2021-04-14 19:10:00.000
680,2021-04-14 19:20:00.000
681,2021-04-14 19:30:00.000
682,2021-04-14 19:40:00.000
683,2021-04-14 19:50:00.000
684,2021-04-14 20:00:00.000
685,2021-04-14 20:10:00.000
686,2021-04-14 20:20:00.000
687,2021-04-14 20:30:00.000
688,2021-04-14 20:40:00.000
689,2021-04-14 20:50:00.000
690,2021-04-14 21:00:00.000
691,2021-04-14 21:10:00.000
692,2021-04-14 21:20:00.000
693,2021-04-14 21:30:00.000
694,2021-04-14 21:40:00.000
695,2021-04-14 21:50:00.000
696,2021-04-14 22:00:00.000
697,2021-04-14 22:10:00.000
698,2021-04-14 22:20:00.000
699,2021-04-14 22:30:00.000
700,2021-04-14 22:40:00.000
701,2021-04-14 22:50:00.000
702,2021-04-14 23:00:00.000
703,2021-04-14 23:10:00.000
704,2021-04-14 23:20:00.000
705,2021-04-14 23:30:00.000
706,2021-04-14 23:40:00.000
707,2021-04-14 23:50:00.000
708,2021-04-15 00:00:00.000
709,2021-04-15 00:10:00.000
710,2021-04-15 00:20:00.000
711,2021-04-15 00:30:00.000
712,2021-04-15 00:40:00.000
713,2021-04-15 00:50:00.000
714,2021-04-15 01:00:00.000
715,2021-04-15 01:10:00.000
716,2021-04-15 01:20:00.000
717,2021-04-15 01:30:00.000
718,2021-04-15 01:40:00.000
719,2021-04-15 01:50:00.000
